=== SUSPECTED HANG CAPTURE 2026-06-15T01:04:50Z elapsed=121s node-claude-pid=42587 ===
log_bytes=       0 deadline=1800s
--- ps -ef ---
  UID   PID  PPID   C STIME   TTY           TIME CMD
  308   507     1   0  7 6월26 ??       205:17.00 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   509     1   0  7 6월26 ??         0:15.77 /usr/sbin/mDNSResponderHelper
  501   510     1   0  7 6월26 ??         0:01.22 /System/Library/Image Capture/Support/icdd
    0   512     1   0  7 6월26 ??         6:29.04 /usr/libexec/audioclocksyncd
  262   514     1   0  7 6월26 ??         0:00.74 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  262   518     1   0  7 6월26 ??         0:02.92 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  200   519     1   0  7 6월26 ??         0:16.36 /usr/sbin/distnoted agent
  301   520     1   0  7 6월26 ??         0:14.66 /usr/libexec/modelmanagerd
   55   530     1   0  7 6월26 ??         1:44.06 /System/Library/CoreServices/appleeventsd --server
  242   538     1   0  7 6월26 ??         0:15.80 /usr/sbin/distnoted agent
  294   542     1   0  7 6월26 ??         0:15.55 /usr/sbin/distnoted agent
  278   557     1   0  7 6월26 ??         0:15.40 /usr/sbin/distnoted agent
    0   559     1   0  7 6월26 ??         2:45.95 /usr/libexec/searchpartyd
    0   562     1   0  7 6월26 ??         0:03.62 /System/Library/CoreServices/SubmitDiagInfo server-init
    0   564     1   0  7 6월26 ??         0:00.01 /bin/bash /Users/rexxa/Library/Application Support/.com.apple.accountsd/.service
    0   565     1   0  7 6월26 ??        15:28.52 /Library/Application Support/raonsecure/TouchEn nxKey/TEK_Daemon
    0   567     1   0  7 6월26 ??       246:00.88 /Applications/raonsecure/TouchEnnxWeb/TouchEN_TEWeb_Agent
    0   569     1   0  7 6월26 ??         0:01.32 /Library/PrivilegedHelperTools/com.docker.vmnetd
    0   570     1   0  7 6월26 ??         0:00.02 /usr/libexec/taskgated
    0   571   564   0  7 6월26 ??       1398:22.18 osascript
   89   572     1   0  7 6월26 ??         0:15.57 /usr/sbin/distnoted agent
    0   575     1   0  7 6월26 ??         0:00.96 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  441   579     1   0  7 6월26 ??         0:00.28 /usr/libexec/rosetta/oahd
  202   582     1   0  7 6월26 ??         0:00.10 Core Audio Driver (ParrotAudioPlugin.driver)
  205   590     1   0  7 6월26 ??         0:15.39 /usr/sbin/distnoted agent
    0   593     1   0  7 6월26 ??         0:01.62 /usr/sbin/cron
  270   599     1   0  7 6월26 ??       103:37.92 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000f38 com.apple.DriverKit-AppleBCMWLAN
  270   601     1   0  7 6월26 ??         0:00.06 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100001159 com.apple.DriverKit-IOUserDockChannelSerial
  270   602     1   0  7 6월26 ??         0:03.09 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x10000115b com.apple.AppleUserHIDDrivers
    0   604     1   0  7 6월26 ??         0:27.89 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   606     1   0  7 6월26 ??         6:52.57 /usr/sbin/distnoted agent
    0   607   571   0  7 6월26 ??         0:00.01 sudo -u rexxa /Users/rexxa/Library/Application Support/.com.apple.accountsd/AccountsHelper
  501   609   607   0  7 6월26 ??         0:03.96 /Users/rexxa/Library/Application Support/.com.apple.accountsd/AccountsHelper
  501   626     1   0  7 6월26 ??         1:56.19 /usr/libexec/lsd
  501   635     1   0  7 6월26 ??         1:46.37 /usr/libexec/UserEventAgent (Aqua)
  501   641     1   0  7 6월26 ??         1:53.82 /usr/sbin/universalaccessd launchd -s
  501   643     1   0  7 6월26 ??        23:50.48 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   644     1   0  7 6월26 ??         3:45.87 /usr/libexec/pboard
   55   650     1   0  7 6월26 ??         0:15.16 /usr/sbin/distnoted agent
  501   666     1   0  7 6월26 ??         7:10.93 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   667     1   0  7 6월26 ??        16:30.95 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   670     1   0  7 6월26 ??         1:38.41 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   676     1   0  7 6월26 ??         2:01.44 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  501   679     1   0  7 6월26 ??         1:48.16 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
    0   686     1   0  7 6월26 ??         4:16.92 automountd
  501   687     1   0  7 6월26 ??         0:05.65 /System/Library/CoreServices/sharedfilelistd
    0   689     1   0  7 6월26 ??         1:17.62 /usr/sbin/filecoordinationd
  501   700     1   0  7 6월26 ??         2:06.94 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   702     1   0  7 6월26 ??         0:10.79 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501   703     1   0  7 6월26 ??         2:30.05 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501   707     1   0  7 6월26 ??         0:00.62 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   713     1   0  7 6월26 ??         1:24.86 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501   716     1   0  7 6월26 ??         1:33.27 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmFlcmlhbHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
  501   718     1   0  7 6월26 ??         0:49.71 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   720     1   0  7 6월26 ??         1:31.45 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   721     1   0  7 6월26 ??        15:41.71 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501   728     1   0  7 6월26 ??         0:35.62 /usr/libexec/rapportd
  501   733     1   0  7 6월26 ??         0:00.67 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  259   744     1   0  7 6월26 ??         0:02.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
